over,runs,wickets
1,8,0
2,6,0
3,13,0
4,6,0
5,0,0
6,6,0
7,4,0
8,4,0
9,7,0
10,5,0
11,2,0
12,7,0
13,5,0
14,3,0
15,8,0
16,5,0
17,2,0
18,5,0
