over,runs,wickets
1,9,0
2,16,0
3,14,0
4,11,0
5,22,0
6,12,0
7,4,0
8,11,0
9,11,0
10,19,0
11,5,0
12,19,0
13,14,0
14,9,0
15,6,0
16,7,0
17,9,0
18,9,0
19,4,0
20,4,0
