bowler,overs,maidens,runs,wickets,economy
Mohit Sharma,2.0,0,32,0,16.0
Joshua Little,4.0,0,45,4,11.2
Manav Suthar,2.0,0,26,0,13.0
Noor Ahmad,4.0,0,23,2,5.8
Rashid Khan,1.4,0,25,0,15.0
