bowler,overs,maidens,runs,wickets,economy
Bhuvneshwar,4,0,44,1,11.0
Marco Jansen,4,0,44,1,11.0
T Natarajan,4,0,36,0,9.0
Markande,4,0,51,0,12.8
Abhishek Sharma,2,0,15,0,7.5
Vivrant Sharma,2,0,18,0,9.0
