Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,8
Balls,0,0,149
Runs,0,0,91
Maidens,0,0,2
Wickets,0,0,10
Avg,0.0,0.0,9.1
Eco,0,0,3.66
SR,0.0,0.0,14.9
BBI,-/-,-/-,2/10
BBM,-/-,-/-,2/10
