Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,3
Runs,0,0,2
Balls,0,0,12
Highest,0,0,1
Average,0,0,2
SR,0,0,16.67
Not Out,0,0,2
Fours,0,0,0
Sixes,0,0,0
Ducks,0,0,0
