batter,runs,balls,fours,sixes,strike_rate,dismissal
Virat Kohli,73,54,8,2,135.19,st Wade b Rashid Khan
Faf du Plessis,44,38,5,0,115.79,c Hardik Pandya b Rashid Khan
Glenn Maxwell,40,18,5,2,222.22,not out
Dinesh Karthik,2,2,0,0,100.0,not out
