over,runs,wickets
1,17,0
2,11,0
3,3,0
4,7,0
5,13,0
6,8,0
7,9,0
8,5,0
9,19,0
10,2,0
11,13,0
12,4,0
13,3,0
14,6,0
15,14,0
16,6,0
17,13,0
18,23,0
19,29,0
20,1,0
