Stat,Test,ODI,T20,IPL
Matches,89,210,74,264
Innings,133,142,41,205
Runs,4095,2905,515,3412
Balls,7389,3396,405,2620
Highest,175,87,46,77
Average,38.27,32.28,21.46,28.43
SR,55.43,85.55,127.17,130.23
Not Out,26,52,17,85
Fours,398,210,39,252
Sixes,82,55,14,119
Ducks,8,6,3,9
