over,runs,wickets
1,2,0
2,10,0
3,17,0
4,10,0
5,10,0
6,17,0
7,7,0
8,3,0
9,3,0
10,11,0
11,10,0
12,4,0
13,6,0
14,6,0
15,7,0
16,3,0
17,7,0
18,9,0
19,30,0
20,4,0
