Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
ICC MEN'S T20 WORLD CUP 2026,0-9,PAK,T20I,Colombo,15 Feb 26,9,1,0
"NEW ZEALAND TOUR OF INDIA, 2026",1-7,NZ,T20I,Thiruvananthapuram,31 Jan 26,17.5,0.4,0
"INDIA TOUR OF SRI LANKA, 2024",2-3,SL,T20I,Pallekele,30 Jul 24,3,1,0
"INDIA TOUR OF SOUTH AFRICA, 2023-24",1-2,RSA,ODI,Gqeberha,19 Dec 23,2,1,0
