Stat,Test,ODI,T20,IPL
Matches,0,0,0,8
Innings,0,0,0,6
Runs,0,0,0,92
Balls,0,0,0,59
Highest,0,0,0,57
Average,0,0,0,18.4
SR,0,0,0,155.94
Not Out,0,0,0,1
Fours,0,0,0,4
Sixes,0,0,0,7
Ducks,0,0,0,0
