over,runs,wickets
1,14,0
2,13,0
3,15,0
4,7,0
5,10,0
6,9,0
7,2,0
8,3,0
9,9,0
10,9,0
11,7,0
12,14,0
13,5,0
14,4,0
15,2,0
16,16,0
17,8,0
18,6,0
19,15,0
20,5,0
