over,runs,wickets
1,10,0
2,0,0
3,8,0
4,16,0
5,1,0
6,12,0
7,14,0
8,14,0
9,9,0
10,5,0
11,16,0
12,15,0
13,11,0
14,12,0
15,3,0
16,12,0
17,7,0
18,15,0
19,7,0
