over,runs,wickets
1,6,0
2,1,0
3,5,0
4,11,0
5,11,0
6,8,0
7,11,0
8,10,0
9,5,0
10,10,0
11,3,0
12,14,0
13,8,0
14,4,0
15,2,0
16,9,0
17,3,0
18,18,0
19,16,0
20,11,0
