batter,runs,balls,fours,sixes,strike_rate,dismissal
Markram,6,6,1,0,100.0,c Tripathi b Khaleel Ahmed
Mitchell Marsh,30,25,2,2,120.0,b Ravindra Jadeja
Pooran,8,9,2,0,88.89,lbw b Anshul Kamboj
Pant,63,49,4,4,128.57,c Dhoni b Matheesha Pathirana
Ayush Badoni,22,17,1,2,129.41,st Dhoni b Ravindra Jadeja
Abdul Samad,20,11,0,2,181.82,run out (Dhoni)
Thakur,6,4,1,0,150.0,c Shaik Rasheed b Matheesha Pathirana
