batter,runs,balls,fours,sixes,strike_rate,dismissal
David Warner,9,13,0,0,69.23,c and b Sam Curran
Jonny Bairstow,23,24,2,0,95.83,b Ravindra Jadeja
Manish Pandey,4,3,1,0,133.33,run out (DJ Bravo)
Kane Williamson,57,39,7,0,146.15,c Thakur b Karn Sharma
Priyam Garg,16,18,1,0,88.89,c Ravindra Jadeja b Karn Sharma
Vijay Shankar,12,7,0,1,171.43,c Ravindra Jadeja b DJ Bravo
Rashid Khan,14,8,1,1,175.0,hit wkt b Thakur
Shahbaz Nadeem,5,5,1,0,100.0,c and b DJ Bravo
Sandeep Sharma,1,2,0,0,50.0,not out
T Natarajan,0,1,0,0,0.0,not out
