batter,runs,balls,fours,sixes,strike_rate,dismissal
Gayle,22,27,2,1,81.48,c Parthiv Patel b Hardik Pandya
Kohli,62,47,5,2,131.91,c Jos Buttler b McClenaghan
de Villiers,19,21,0,1,90.48,c Rohit b Krunal Pandya
Kedar Jadhav,9,8,0,0,112.5,run out (Bumrah)
Negi,13,13,0,0,100.0,not out
Mandeep,0,1,0,0,0.0,b McClenaghan
Binny,6,4,0,0,150.0,not out
