over,runs,wickets
1,6,0
2,1,0
3,17,0
4,4,0
5,6,0
6,7,0
7,9,0
8,3,0
9,9,0
10,4,0
11,5,0
12,5,0
13,9,0
14,19,0
15,6,0
16,4,0
17,5,0
18,8,0
19,5,0
20,10,0
