bowler,overs,maidens,runs,wickets,economy
RP Singh,4,0,15,0,3.75
Vinay Kumar,4,0,48,0,12.0
Thisara Perera,4,0,38,0,9.5
Raiphi Gomez,3,0,29,1,9.67
Ravindra Jadeja,4,0,29,0,7.25
Ramesh Powar,1,0,12,0,12.0
