batter,runs,balls,fours,sixes,strike_rate,dismissal
Quinton de Kock,12,8,2,0,150.0,c Mukesh Kumar b Ishant
KL Rahul,5,3,1,0,166.67,c Mukesh Kumar b Ishant
Marcus Stoinis,5,7,1,0,71.43,st Pant b Axar
Deepak Hooda,0,2,0,0,0.0,lbw b Ishant
Nicholas Pooran,61,27,6,4,225.93,c Axar b Mukesh Kumar
Ayush Badoni,6,9,0,0,66.67,c Gulbadin b Tristan Stubbs
Krunal Pandya,18,18,2,0,100.0,st Pant b Kuldeep Yadav
Arshad Khan,58,33,3,5,175.76,not out
Yudhvir Singh Charak,14,7,1,1,200.0,c Shai Hope b Khaleel Ahmed
Ravi Bishnoi,2,2,0,0,100.0,run out (Jake Fraser-McGurk)
Naveen-ul-Haq,2,4,0,0,50.0,not out
