batter,runs,balls,fours,sixes,strike_rate,dismissal
Brett Lee,1,3,0,0,33.33,c K Jadhav b M Muralitharan
Lakshmipathy Balaji,1,1,0,0,100.0,not out
Jacques Kallis,6,9,0,0,66.67,c K Jadhav b V Kumar
Gautam Gambhir,3,5,0,0,60.0,b RP Singh
Shakib Al Hasan,2,5,0,0,40.0,b RP Singh
Eoin Morgan,10,12,1,0,83.33,run out (M Jayawardene)
Manoj Tiwary,46,51,2,2,90.2,st P Patel b R Jadeja
Yusuf Pathan,8,3,0,1,266.67,c M Muralitharan b R Powar
Rajat Bhatia,10,8,1,0,125.0,run out (R Jadeja/P Patel)
Iqbal Abdulla,12,9,1,0,133.33,not out
Manvinder Bisla,16,14,2,0,114.29,b R Jadeja
