Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,2
Runs,0,0,0
Balls,0,0,1
Highest,0,0,0
Average,0,0,0
SR,0,0,0.00
Not Out,0,0,1
Fours,0,0,0
Sixes,0,0,0
Ducks,0,0,1
