Stat,Test,ODI,T20,IPL
Matches,64,108,25,129
Innings,89,49,5,35
Runs,750,225,7,115
Balls,1005,273,10,110
Highest,56,25,7,21
Average,11.9,7.76,3.5,6.39
SR,74.63,82.42,70.00,104.55
Not Out,26,20,3,17
Fours,83,17,0,9
Sixes,25,9,1,5
Ducks,18,6,1,5
