Stat,Test,ODI,T20,IPL
Matches,76,96,60,46
Innings,143,95,59,46
Balls,15423,4978,1348,1032
Runs,7144,3928,1680,1455
Maidens,657,65,7,1
Wickets,295,142,79,66
Avg,24.22,27.66,21.27,22.05
Eco,2.78,4.73,7.48,8.46
SR,52.28,35.06,17.06,15.64
BBI,6/67,6/52,4/12,4/12
BBM,9/79,6/52,4/12,4/12
