bowler,overs,maidens,runs,wickets,economy
Bhuvneshwar,4,0,51,0,12.8
Marco Jansen,3,0,40,0,13.3
T Natarajan,4,0,32,3,8.0
Cummins,4,0,32,1,8.0
Markande,4,0,39,2,9.8
Shahbaz Ahmed,1,0,14,0,14.0
