batter,runs,balls,fours,sixes,strike_rate,dismissal
Harbhajan Singh,14,10,1,1,140.0,not out
Rohit Sharma,15,24,1,0,62.5,b Axar
Kieron Pollard,27,20,0,3,135.0,b M Stoinis
Tim Southee,1,3,0,0,33.33,c Gurkeerat Singh b Mohit Sharma
Jos Buttler,9,10,1,0,90.0,c Gurkeerat Singh b M Stoinis
Ambati Rayudu,0,3,0,0,0.0,b Sandeep Sharma
Mitchell McClenaghan,4,4,1,0,100.0,c D Miller b Sandeep Sharma
Unmukt Chand,0,4,0,0,0.0,c Gurkeerat Singh b Mohit Sharma
Nitish Rana,25,28,0,3,89.29,c W Saha b M Stoinis
Jasprit Bumrah,2,2,0,0,100.0,not out
Krunal Pandya,19,12,1,1,158.33,c Axar b M Stoinis
