bowler,overs,maidens,runs,wickets,economy
Ryan McLaren,2.0,0,13,0,6.5
Zaheer Khan,3.2,0,36,0,11.25
Lasith Malinga,4.0,0,36,2,9.0
Harbhajan Singh,4.0,0,34,0,8.5
Rajagopal Sathish,2.0,0,14,0,7.0
Jean-Paul Duminy,3.0,0,15,1,5.0
Kieron Pollard,1.0,0,9,1,9.0
