bowler,overs,maidens,runs,wickets,economy
Akeal Hosein,4,1,17,4,4.2
Mukesh Choudhary,4,0,31,1,7.8
Anshul Kamboj,3,0,10,1,3.3
Noor Ahmad,4,0,24,2,6.0
Jamie Overton,2,0,14,1,7.0
Gurjapneet Singh,2,0,7,1,3.5
