Stat,Test,ODI,T20,IPL
Matches,0,0,0,2
Innings,0,0,0,1
Runs,0,0,0,4
Balls,0,0,0,4
Highest,0,0,0,4
Average,0,0,0,4
SR,0,0,0,100.00
Not Out,0,0,0,0
Fours,0,0,0,1
Sixes,0,0,0,0
Ducks,0,0,0,0
