Stat,Test,ODI,T20,IPL
Matches,0,0,9,0
Innings,0,0,1,0
Balls,0,0,5,0
Runs,0,0,6,0
Maidens,0,0,0,0
Wickets,0,0,2,0
Avg,0.0,0.0,3.0,0.0
Eco,0,0,0,0
SR,0.0,0.0,2.5,0.0
BBI,-/-,-/-,2/6,-/-
BBM,-/-,-/-,2/6,-/-
