batter,runs,balls,fours,sixes,strike_rate,dismissal
Sourav Ganguly,22,17,1,1,129.41,c Sangakkara b Chawla
Brendon McCullum,19,31,1,0,61.29,c Malik b Chawla
Chris Gayle,17,17,3,0,100.0,c Yuvraj Singh b Abdulla
Brad Hodge,70,43,10,1,162.79,not out
Morne van Wyk,18,12,1,1,150.0,not out
