bowler,overs,maidens,runs,wickets,economy
Sandeep Sharma,4.0,0,20,4,5.0
T Natarajan,2.0,0,7,0,3.5
Mohit Sharma,1.1,0,3,1,2.6
Axar,4.0,0,22,2,5.5
Maxwell,4.0,0,12,1,3.0
Aaron,2.0,0,3,2,1.5
