Stat,Test,ODI,T20,IPL
Matches,0,40,96,6
Innings,0,40,92,6
Balls,0,2210,1964,130
Runs,0,1769,2430,168
Maidens,0,14,3,1
Wickets,0,63,93,8
Avg,0.0,28.08,26.13,21.0
Eco,0,4.8,7.42,7.75
SR,0.0,35.08,21.12,16.25
BBI,-/-,4/39,5/11,4/17
BBM,-/-,4/39,5/11,4/17
