Stat,Test,ODI,T20,IPL
Matches,0,0,82,0
Innings,0,0,33,0
Balls,0,0,415,0
Runs,0,0,500,0
Maidens,0,0,1,0
Wickets,0,0,29,0
Avg,0.0,0.0,17.24,0.0
Eco,0,0,7.23,0
SR,0.0,0.0,14.31,0.0
BBI,-/-,-/-,5/1,-/-
BBM,-/-,-/-,5/1,-/-
