Stat,Test,ODI,T20,IPL
Matches,0,0,0,7
Innings,0,0,0,7
Runs,0,0,0,153
Balls,0,0,0,120
Highest,0,0,0,54
Average,0,0,0,30.6
SR,0,0,0,127.50
Not Out,0,0,0,2
Fours,0,0,0,11
Sixes,0,0,0,9
Ducks,0,0,0,0
