bowler,overs,maidens,runs,wickets,economy
Arshdeep Singh,4,0,43,3,10.8
Lockie Ferguson,3,0,26,1,8.7
Maxwell,3,0,22,1,7.3
Marco Jansen,4,0,28,1,7.0
Stoinis,2,0,15,0,7.5
Chahal,4,0,36,1,9.0
