Stat,Test,ODI,T20,IPL
Matches,72,90,57,76
Innings,107,59,27,51
Runs,1567,537,158,622
Balls,3312,703,133,410
Highest,64,37,28,66
Average,16.67,14.51,10.53,20.06
SR,47.32,76.39,118.80,151.71
Not Out,13,22,12,20
Fours,153,43,11,39
Sixes,35,12,7,42
Ducks,13,8,4,4
