batter,runs,balls,fours,sixes,strike_rate,dismissal
Adam Gilchrist,0,2,0,0,0.0,c S Trivedi b S Sreesanth
Azhar Mahmood,23,20,3,0,115.0,b K Cooper
Piyush Chawla,7,9,0,0,77.78,c A Rahane b K Cooper
David Hussey,41,31,4,1,132.26,c R Dravid b S Trivedi
Praveen Kumar,15,7,2,1,214.29,run out (Samson)
Ryan Harris,2,3,0,0,66.67,not out
Rajagopal Sathish,11,12,2,0,91.67,c Samson b J Faulkner
Mandeep Singh,2,8,0,0,25.0,c S Binny b S Sreesanth
Parvinder Awana,0,1,0,0,0.0,c Samson b J Faulkner
Gurkeerat Singh Mann,10,15,1,0,66.67,c Samson b S Trivedi
Manan Vohra,3,6,0,0,50.0,run out (J Faulkner)
