Stat,Test,ODI,T20,IPL
Matches,6,65,51,197
Innings,11,65,49,196
Balls,1650,3540,1102,4555
Runs,851,2435,1105,5150
Maidens,60,35,1,4
Wickets,21,92,52,202
Avg,40.52,26.47,21.25,25.5
Eco,3.09,4.13,6.02,6.78
SR,78.57,38.48,21.19,22.55
BBI,6/91,6/27,4/12,5/19
BBM,8/223,6/27,4/12,5/19
