bowler,overs,maidens,runs,wickets,economy
Veer Pratap Singh,4.0,0,31,1,7.75
Dale Steyn,4.0,0,19,2,4.75
Daniel Christian,4.0,0,35,1,8.75
Jean-Paul Duminy,3.0,0,33,0,11.0
Amit Mishra,2.0,0,26,0,13.0
Ankit Sharma,2.1,0,18,0,8.57
