batter,runs,balls,fours,sixes,strike_rate,dismissal
Sai Sudharsan,21,16,4,0,131.25,c Markram b William ORourke
Shubman Gill,35,20,7,0,175.0,c Abdul Samad b Avesh Khan
Jos Buttler,33,18,3,2,183.33,b Akash Maharaj Singh
Sherfane Rutherford,38,22,1,3,172.73,c (sub)Ravi Bishnoi b William ORourke
Shahrukh Khan,57,29,5,3,196.55,c (sub)Ravi Bishnoi b Avesh Khan
Rahul Tewatia,2,3,0,0,66.67,c Himmat Singh b William ORourke
Arshad Khan,1,3,0,0,33.33,c William ORourke b Shahbaz Ahmed
Rashid Khan,4,4,0,0,100.0,not out
Kagiso Rabada,2,3,0,0,66.67,b Ayush Badoni
Ravisrinivasan Sai Kishore,1,2,0,0,50.0,b Ayush Badoni
