batter,runs,balls,fours,sixes,strike_rate,dismissal
Shane Watson,7,6,0,1,116.67,c Hilfenhaus b R Jadeja
Tim Southee,4,4,1,0,100.0,b R Jadeja
Ajinkya Rahane,15,12,2,0,125.0,c Manhas b Ashwin
Dhawal Kulkarni,28,19,0,2,147.37,not out
Abhishek Nayar,5,7,1,0,71.43,run out (B McCullum)
Rajat Bhatia,23,20,1,1,115.0,c Ashwin b Hilfenhaus
Stuart Binny,8,11,0,0,72.73,c du Plessis b Mohit Sharma
Steven Smith,19,20,1,0,95.0,c du Plessis b R Jadeja
James Faulkner,4,2,1,0,200.0,c Dhoni b I Pandey
Sanju Samson,16,16,0,2,100.0,c & b R Jadeja
Pravin Tambe,2,2,0,0,100.0,run out (du Plessis/Ashwin)
