bowler,overs,maidens,runs,wickets,economy
Dirk Nannes,4.0,0,18,1,4.5
Umesh Yadav,4.0,0,38,1,9.5
Pradeep Sangwan,4.0,0,46,0,11.5
Rajat Bhatia,2.0,0,31,0,15.5
Tillakaratne Dilshan,2.1,0,30,1,14.29
Amit Mishra,3.0,0,25,1,8.33
