Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,15
Runs,0,0,101
Balls,0,0,126
Highest,0,0,24
Average,0,0,9.18
SR,0,0,80.16
Not Out,0,0,4
Fours,0,0,13
Sixes,0,0,0
Ducks,0,0,4
