Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,25
Balls,0,0,451
Runs,0,0,369
Maidens,0,0,0
Wickets,0,0,16
Avg,0.0,0.0,23.06
Eco,0,0,4.91
SR,0.0,0.0,28.19
BBI,-/-,-/-,2/9
BBM,-/-,-/-,2/9
