over,runs,wickets
1,1,0
2,3,0
3,7,0
4,6,0
5,18,0
6,8,0
7,9,0
8,12,0
9,11,0
10,18,0
11,11,0
12,8,0
13,9,0
14,8,0
15,6,0
16,2,0
17,4,0
18,13,0
19,5,0
20,9,0
