Stat,Test,ODI,T20,IPL
Matches,0,1,6,80
Innings,0,1,1,24
Runs,0,13,5,129
Balls,0,25,5,124
Highest,0,13,5,25
Average,0,13,5,8.06
SR,0,52.00,100.00,104.04
Not Out,0,0,0,8
Fours,0,0,1,13
Sixes,0,0,0,5
Ducks,0,0,0,8
