Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,75
Runs,0,0,824
Balls,0,0,1122
Highest,0,0,54
Average,0,0,12.68
SR,0,0,73.45
Not Out,0,0,10
Fours,0,0,74
Sixes,0,0,6
Ducks,0,0,10
