Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,10
Runs,0,0,45
Balls,0,0,75
Highest,0,0,11
Average,0,0,6.43
SR,0,0,60.00
Not Out,0,0,3
Fours,0,0,4
Sixes,0,0,0
Ducks,0,0,1
