Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,24
Balls,0,0,451
Runs,0,0,363
Maidens,0,0,5
Wickets,0,0,22
Avg,0.0,0.0,16.5
Eco,0,0,4.83
SR,0.0,0.0,20.5
BBI,-/-,-/-,4/1
BBM,-/-,-/-,4/1
