Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2023,0-9,BTNW,T20I,Kuala Lumpur,04 Sep 23,2.2,4,1
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2023,1-7,BHRW,T20I,Kuala Lumpur,03 Sep 23,1.7,4,2
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2023,0-22,UAEW,T20I,"Bangi, Malaysia",01 Sep 23,6.2,3.5,0
ICC WOMENS T20 WORLD CUP ASIA QUALIFIER 2023,1-13,NEPW,T20I,Kuala Lumpur,31 Aug 23,3.2,4,1
WOMENS T20I QUADRANGULAR SERIES IN MALAYSIA 2023,1-9,KUWW,T20I,Kuala Lumpur,26 Aug 23,2.2,4,1
WOMENS T20I QUADRANGULAR SERIES IN MALAYSIA 2023,2-23,NEPW,T20I,Kuala Lumpur,25 Aug 23,5.7,4,0
WOMENS T20I QUADRANGULAR SERIES IN MALAYSIA 2023,0-13,HKC W,T20I,Kuala Lumpur,23 Aug 23,4.3,3,0
WOMENS T20I QUADRANGULAR SERIES IN MALAYSIA 2023,1-5,KUWW,T20I,Kuala Lumpur,22 Aug 23,2.5,2,0
ACC WOMENS EMERGING TEAMS ASIA CUP 2023,3-11,UAEW,T20I,Mong Kok,14 Jun 23,5.5,2,0
"NEPAL WOMEN TOUR OF MALAYSIA, 2023",1-16,NEPW,T20I,"Bangi, Malaysia",04 Jun 23,4,4,0
"NEPAL WOMEN TOUR OF MALAYSIA, 2023",1-11,NEPW,T20I,"Bangi, Malaysia",03 Jun 23,2.7,4,0
"NEPAL WOMEN TOUR OF MALAYSIA, 2023",0-20,NEPW,T20I,"Bangi, Malaysia",01 Jun 23,5,4,0
"NEPAL WOMEN TOUR OF MALAYSIA, 2023",0-14,NEPW,T20I,"Bangi, Malaysia",30 May 23,4.6,3,0
"NEPAL WOMEN TOUR OF MALAYSIA, 2023",2-3,NEPW,T20I,"Bangi, Malaysia",29 May 23,0.7,4,1
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2023,2-6,SINW,T20I,Phnom Penh,15 May 23,1.5,4,2
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2023,1-9,MMRW,T20I,Phnom Penh,14 May 23,6,1.5,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2023,2-4,PHIW,T20I,Phnom Penh,06 May 23,1,4,1
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2023,2-6,THAIW,T20I,Phnom Penh,04 May 23,1.5,4,0
"WOMENS ASIA CUP T20, 2022",0-19,THAIW,T20I,Sylhet,09 Oct 22,4.7,4,0
"WOMENS ASIA CUP T20, 2022",1-16,SLW,T20I,Sylhet,08 Oct 22,4,4,0
"WOMENS ASIA CUP T20, 2022",1-17,BANW,T20I,Sylhet,06 Oct 22,4.2,4,0
"WOMENS ASIA CUP T20, 2022",1-25,UAEW,T20I,Sylhet,05 Oct 22,6.2,4,0
"WOMENS ASIA CUP T20, 2022",0-21,INDW,T20I,Sylhet,03 Oct 22,5.2,4,0
"WOMENS ASIA CUP T20, 2022",1-8,PAKW,T20I,Sylhet,02 Oct 22,4,2,0
"WOMENS ASIA CUP T20, 2018",0-13,SLW,T20I,Kuala Lumpur,04 Jun 18,13,1,0
"WOMENS ASIA CUP T20, 2018",0-20,INDW,T20I,Kuala Lumpur,03 Jun 18,10,2,0
