Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,67
Balls,0,0,1389
Runs,0,0,1041
Maidens,0,0,15
Wickets,0,0,63
Avg,0.0,0.0,16.52
Eco,0,0,4.5
SR,0.0,0.0,22.05
BBI,-/-,-/-,5/11
BBM,-/-,-/-,5/11
