Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,64
Runs,0,0,603
Balls,0,0,879
Highest,0,0,44
Average,0,0,10.77
SR,0,0,68.61
Not Out,0,0,8
Fours,0,0,43
Sixes,0,0,0
Ducks,0,0,11
