bowler,overs,maidens,runs,wickets,economy
Ishant Sharma,4,0,22,1,5.5
Dale Steyn,4,0,34,1,8.5
Thisara Perera,4,0,20,3,5.0
Amit Mishra,4,0,19,4,4.75
Karn Sharma,3,0,13,1,4.33
