bowler,overs,maidens,runs,wickets,economy
Krishnappa Gowtham,2.0,0,6,1,3.0
Jofra Archer,4.0,0,37,0,9.2
Ben Laughlin,2.0,0,15,2,7.5
Jaydev Unadkat,3.2,0,27,2,8.1
Shreyas Gopal,4.0,0,16,4,4.0
Ish Sodhi,4.0,0,31,1,7.8
