Stat,Test,ODI,T20,IPL
Matches,0,0,0,4
Innings,0,0,0,4
Runs,0,0,0,12
Balls,0,0,0,19
Highest,0,0,0,5
Average,0,0,0,4
SR,0,0,0,63.16
Not Out,0,0,0,1
Fours,0,0,0,1
Sixes,0,0,0,0
Ducks,0,0,0,0
