Stat,Test,ODI,T20,IPL
Matches,4,19,48,3
Innings,5,7,12,0
Runs,78,12,40,0
Balls,104,20,41,0
Highest,36,4,9,0
Average,19.5,12,8,0
SR,75.00,60.00,97.57,0
Not Out,1,6,7,0
Fours,14,2,3,0
Sixes,0,0,0,0
Ducks,0,1,1,0
