Stat,Test,ODI,T20,IPL
Matches,4,19,48,3
Innings,8,19,46,3
Balls,1030,862,932,72
Runs,407,849,1256,138
Maidens,46,7,1,0
Wickets,25,35,62,6
Avg,16.28,24.26,20.26,23.0
Eco,2.37,5.91,8.09,11.5
SR,41.2,24.63,15.03,12.0
BBI,5/34,3/35,4/14,3/22
BBM,9/128,3/35,4/14,3/22
