Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,71
Balls,0,0,1158
Runs,0,0,1110
Maidens,0,0,10
Wickets,0,0,71
Avg,0.0,0.0,15.63
Eco,0,0,5.75
SR,0.0,0.0,16.31
BBI,-/-,-/-,4/8
BBM,-/-,-/-,4/8
