Stat,Test,ODI,T20
WPL,Matches,0,0
Innings,0,0,61
Runs,0,0,669
Balls,0,0,697
Highest,0,0,71
Average,0,0,14.54
SR,0,0,95.99
Not Out,0,0,15
Fours,0,0,42
Sixes,0,0,5
Ducks,0,0,10
