Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2022,0-54,RCB,T20,Kolkata,25 May 22,13.5,4,0
INDIAN PREMIER LEAGUE 2022,0-35,RR,T20,Mumbai,15 May 22,11.6,3,0
INDIAN PREMIER LEAGUE 2022,0-34,GT,T20,Pune,10 May 22,8.5,4,0
INDIAN PREMIER LEAGUE 2022,1-14,KKR,T20,Pune,07 May 22,4.6,3,0
INDIAN PREMIER LEAGUE 2022,1-44,DC,T20,Mumbai,01 May 22,11,4,0
INDIAN PREMIER LEAGUE 2022,2-17,PBKS,T20,Pune,29 Apr 22,4.2,4,0
INDIAN PREMIER LEAGUE 2022,0-14,MI,T20,Mumbai,24 Apr 22,3.5,4,0
INDIAN PREMIER LEAGUE 2022,2-31,RCB,T20,Navi Mumbai,19 Apr 22,10.3,3,0
INDIAN PREMIER LEAGUE 2022,1-48,MI,T20,Mumbai,16 Apr 22,12,4,0
INDIAN PREMIER LEAGUE 2022,0-22,RR,T20,Mumbai,10 Apr 22,5.5,4,0
INDIAN PREMIER LEAGUE 2022,0-49,CSK,T20,Mumbai,31 Mar 22,12.2,4,0
INDIAN PREMIER LEAGUE 2022,2-22,GT,T20,Mumbai,28 Mar 22,7.3,3,0
"SRI LANKA TOUR OF INDIA, 2022",1-19,IND,T20I,Dharamsala,27 Feb 22,6.3,3,0
"SRI LANKA TOUR OF INDIA, 2022",1-39,IND,T20I,Dharamsala,26 Feb 22,12.5,3.1,0
"SRI LANKA TOUR OF INDIA, 2022",0-42,IND,T20I,Lucknow,24 Feb 22,10.5,4,0
"SRI LANKA TOUR OF AUSTRALIA, 2022",2-30,AUS,T20I,Melbourne,20 Feb 22,7.5,4,0
"SRI LANKA TOUR OF AUSTRALIA, 2022",1-33,AUS,T20I,Melbourne,18 Feb 22,8.2,4,0
"SRI LANKA TOUR OF AUSTRALIA, 2022",0-22,AUS,T20I,Canberra,15 Feb 22,5.5,4,0
"SRI LANKA TOUR OF AUSTRALIA, 2022",2-30,AUS,T20I,Sydney,13 Feb 22,7.5,4,0
"SRI LANKA TOUR OF AUSTRALIA, 2022",2-38,AUS,T20I,Sydney,11 Feb 22,9.5,4,0
"ZIMBABWE TOUR OF SRI LANKA, 2022",2-20,ZIM,ODI,Pallekele,21 Jan 22,4,5,1
"ZIMBABWE TOUR OF SRI LANKA, 2022",0-47,ZIM,ODI,Pallekele,18 Jan 22,5.2,9,0
"WEST INDIES TOUR OF SRI LANKA, 2021",0-14 & 0-12,WI,Test,Galle,21 Nov 21,1.7 & 3,8 & 4,0 & 0
ICC MENS T20 WORLD CUP 2021,1-41,WI,T20I,Abu Dhabi,04 Nov 21,10.2,4,0
ICC MENS T20 WORLD CUP 2021,1-43,ENG,T20I,Sharjah,01 Nov 21,10.7,4,0
ICC MENS T20 WORLD CUP 2021,2-27,RSA,T20I,Sharjah,30 Oct 21,6.7,4,0
ICC MENS T20 WORLD CUP 2021,0-33,AUS,T20I,Dubai,28 Oct 21,11,3,0
ICC MENS T20 WORLD CUP 2021,0-41,BAN,T20I,Sharjah,24 Oct 21,10.2,4,0
ICC MENS T20 WORLD CUP 2021,1-13,NED,T20I,Sharjah,22 Oct 21,6.5,2,0
ICC MENS T20 WORLD CUP 2021,1-16,IRE,T20I,Abu Dhabi,20 Oct 21,5.3,3,0
ICC MENS T20 WORLD CUP 2021,1-19,NAM,T20I,Abu Dhabi,18 Oct 21,4.7,4,0
"SOUTH AFRICA TOUR OF SRI LANKA, 2021",0-9,RSA,T20I,Colombo,14 Sep 21,9,1,0
"SOUTH AFRICA TOUR OF SRI LANKA, 2021",0-13,RSA,T20I,Colombo,12 Sep 21,6.5,2,0
"SOUTH AFRICA TOUR OF SRI LANKA, 2021",1-35,RSA,T20I,Colombo,10 Sep 21,8.7,4,0
"SOUTH AFRICA TOUR OF SRI LANKA, 2021",2-16,RSA,ODI,Colombo,07 Sep 21,4,4,1
