Stat,Test,ODI,T20,IPL
Matches,11,94,138,160
Innings,18,68,109,148
Runs,532,1904,2288,2895
Balls,720,1717,1568,1978
Highest,108,92,71,91
Average,31.29,32.83,28.25,27.84
SR,73.89,110.90,145.92,146.36
Not Out,1,10,28,44
Fours,68,141,168,223
Sixes,12,76,126,152
Ducks,2,4,4,6
