Stat,Test,ODI,T20,IPL
Matches,0,1,9,93
Innings,0,1,6,82
Runs,0,15,106,1773
Balls,0,13,70,1248
Highest,0,15,34,95
Average,0,15,17.67,25.7
SR,0,115.39,151.43,142.07
Not Out,0,0,0,13
Fours,0,2,3,127
Sixes,0,0,9,99
Ducks,0,0,0,3
